sitename,lat,lon,timezone,standard_timezone,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12
AliceSpringsMulga,-22.2828,133.2493,Australia/Darwin,Australia/Darwin,0.944510996341705,0.944464296102524,0.943571418523788,0.947214305400848,0.947821438312531,0.950357139110565,0.947964280843735,0.945178598165512,0.943392843008041,0.941000014543533,0.937892854213715,0.935928583145142
Calperum,-34.0027,140.5877,Australia/Adelaide,Australia/Darwin,0.951071411371231,0.951892852783203,0.95314285159111,0.954571425914764,0.958250015974045,0.959142863750458,0.960071444511414,0.958392858505249,0.953892856836319,0.950964272022247,0.948928564786911,0.946571439504623
CapeTribulation,-16.1056,145.3778,Australia/Brisbane,Australia/Brisbane,0.95894780755043,0.960214287042618,0.955821424722672,0.957035690546036,0.960999995470047,0.961107134819031,0.963678568601608,0.965642839670181,0.967285692691803,0.965214282274246,0.960750013589859,0.958499997854233
CowBay,-16.1032,145.4469,Australia/Brisbane,Australia/Brisbane,0.952579647302628,0.950857132673264,0.948857128620148,0.948285698890686,0.951999992132187,0.952464282512665,0.953642845153809,0.95714282989502,0.956642866134644,0.953285723924637,0.950892835855484,0.949285715818405
CumberlandPlain,-33.6152,150.7236,Australia/Sydney,Australia/Brisbane,0.956420332193375,0.95653572678566,0.959142863750458,0.963499993085861,0.966071426868439,0.967249989509583,0.966857135295868,0.967821449041367,0.96557143330574,0.961750000715256,0.956178545951843,0.955357134342194
DalyUncleared,-14.1592,131.3881,Australia/Darwin,Australia/Darwin,0.943214297294617,0.942428588867188,0.94517856836319,0.939178556203842,0.941142857074738,0.941392868757248,0.941500008106232,0.93964284658432,0.932857125997543,0.927107155323029,0.92528572678566,0.930142879486084
DryRiver,-15.2588,132.3706,Australia/Darwin,Australia/Darwin,0.943189561367035,0.946214288473129,0.947178542613983,0.941214263439178,0.944571435451508,0.946035712957382,0.94646430015564,0.945535719394684,0.940357148647308,0.93621426820755,0.931249976158142,0.933321416378021
Gingin,-31.3764,115.7139,Australia/Perth,Australia/Perth,0.949530214071274,0.948285698890686,0.950714290142059,0.952357143163681,0.957178562879562,0.959035694599152,0.961250007152557,0.960500001907349,0.959071427583694,0.955678582191467,0.951571404933929,0.948178589344025
GreatWesternWoodlands,-30.1913,120.6541,Australia/Perth,Australia/Perth,0.946447819471359,0.944499999284744,0.946642845869064,0.949785739183426,0.952571421861649,0.953714281320572,0.955250024795532,0.952428549528122,0.948892861604691,0.946285724639893,0.941750019788742,0.9396071434021
HowardSprings,-12.4943,131.1523,Australia/Darwin,Australia/Darwin,0.943093419075012,0.953249990940094,0.948749989271164,0.943107157945633,0.943428575992584,0.942750006914139,0.941535711288452,0.938749998807907,0.931071430444717,0.929214268922806,0.92871430516243,0.939142853021622
Litchfield,-13.179,130.7945,Australia/Darwin,Australia/Darwin,0.948186814785004,0.945571422576904,0.949642866849899,0.94410714507103,0.939500004053116,0.943785697221756,0.943392843008041,0.939035713672638,0.935928553342819,0.930928587913513,0.933785706758499,0.939571410417557
Ridgefield,-32.5061,116.9668,Australia/Perth,Australia/Perth,0.950582414865494,0.949071407318115,0.949214309453964,0.953535735607147,0.958357155323029,0.964178562164307,0.965964287519455,0.967285722494125,0.965035736560822,0.961428552865982,0.953214287757874,0.949607133865356
RiggsCreek,-36.6499,145.576,Australia/Melbourne,Australia/Brisbane,0.956096172332764,0.95421427488327,0.956214278936386,0.960535734891891,0.966178566217422,0.969107121229172,0.97192856669426,0.971178561449051,0.968250006437302,0.965607136487961,0.958035737276077,0.954464286565781
RobsonCreek,-17.1175,145.6301,Australia/Brisbane,Australia/Brisbane,0.965280205011368,0.965928554534912,0.964142829179764,0.963571429252625,0.968535721302032,0.967642843723297,0.970678597688675,0.97007143497467,0.971035718917847,0.969892859458923,0.968857139348984,0.965499997138977
Samford,-27.3881,152.877,Australia/Brisbane,Australia/Brisbane,0.959252744913101,0.958999991416931,0.9587142765522,0.962464302778244,0.96660715341568,0.968428581953049,0.968928575515747,0.96767857670784,0.966785699129105,0.962571412324905,0.959250032901764,0.956928551197052
SturtPlains,-17.1507,133.3502,Australia/Darwin,Australia/Darwin,0.941392868757248,0.942892849445343,0.945000022649765,0.944571435451508,0.947714298963547,0.949000000953674,0.948892861604691,0.949392855167389,0.944071441888809,0.939500004053116,0.935035705566406,0.935214281082153
TiTreeEast,-22.287,133.64,Australia/Darwin,Australia/Darwin,0.947052210569382,0.949678599834442,0.94860714673996,0.950392872095108,0.951928585767746,0.952321410179138,0.950142860412598,0.948571413755417,0.946928560733795,0.944178581237793,0.942678570747375,0.941285699605942
Tumbarumba,-35.6566,148.1517,Australia/Sydney,Australia/Brisbane,0.975184053182602,0.975428581237793,0.976785719394684,0.977428555488586,0.97800001502037,0.977785736322403,0.977785736322403,0.978178560733795,0.978678584098816,0.977785706520081,0.975857138633728,0.974821418523788
Warra,-43.095,146.6545,Australia/Hobart,Australia/Brisbane,0.977112650871277,0.977964282035828,0.976357132196426,0.977678596973419,0.979142844676971,0.978392869234085,0.977964282035828,0.978142857551575,0.977964282035828,0.977642834186554,0.977071434259415,0.97749999165535
Whroo,-36.6732,145.0294,Australia/Melbourne,Australia/Brisbane,0.954774737358093,0.956000000238419,0.958535730838776,0.962714284658432,0.966250002384186,0.96900001168251,0.969535708427429,0.968928545713425,0.967142850160599,0.962428569793701,0.957107126712799,0.95310714840889
WombatStateForest,-37.4222,144.0944,Australia/Melbourne,Australia/Brisbane,0.968717008829117,0.969714283943176,0.971214294433594,0.974142849445343,0.976249992847443,0.975714296102524,0.977714270353317,0.977321445941925,0.977285712957382,0.975821435451508,0.973178595304489,0.970642864704132
Yanco,-34.9893,146.2907,Australia/Sydney,Australia/Brisbane,0.955903857946396,0.954535692930222,0.955928564071655,0.960142850875854,0.963499993085861,0.966285705566406,0.968964278697968,0.967607170343399,0.965821444988251,0.961464285850525,0.955535709857941,0.953214287757874
